Country,CPI,CPI Change (%),Currency-Code,Gasoline Price,Minimum wage,Tax revenue (%),Total tax rate,Unemployment rate,
Guatemala,142.92,3.70%,GTQ,$0.79 ,$1.60 ,10.60%,35.20%,2.46%,
Guinea,262.95,9.50%,GNF,$0.90 ,,10.80%,69.30%,4.30%,
Guinea-Bissau,111.65,1.40%,XOF,,$0.16 ,10.30%,45.50%,2.47%,
Guyana,116.19,2.10%,GYD,$0.90 ,$0.98 ,,30.60%,11.85%,
Haiti,179.29,12.50%,HTG,$0.81 ,$0.25 ,,42.70%,13.78%,
Vatican City,,,EUR,,,,,,
Honduras,150.34,4.40%,HNL,$0.98 ,$1.01 ,17.30%,39.10%,5.39%,
Hungary,121.64,3.30%,HUF,$1.18 ,$2.62 ,23.00%,37.90%,3.40%,
Iceland,129,3.00%,ISK,$1.69 ,,23.30%,31.90%,2.84%,
India,180.44,7.70%,INR,$0.97 ,$0.30 ,11.20%,49.70%,5.36%,
Indonesia,151.18,3.00%,IDR,$0.63 ,$0.48 ,10.20%,30.10%,4.69%,
Iran,550.93,39.90%,IRR,$0.40 ,$1.58 ,7.40%,44.70%,11.38%,
Iraq,119.86,0.40%,IQD,$0.61 ,$1.24 ,2.00%,30.80%,12.82%,
Republic of Ireland,106.58,0.90%,EUR,$1.37 ,$10.79 ,18.30%,26.10%,4.93%,
Israel,108.15,0.80%,ILS,$1.57 ,$7.58 ,23.10%,25.30%,3.86%,
Italy,110.62,0.60%,EUR,$1.61 ,,24.30%,59.10%,9.89%,
Jamaica,162.47,3.90%,JMD,$1.11 ,$1.33 ,26.80%,35.10%,8.00%,
Japan,105.48,0.50%,,$1.06 ,$6.77 ,11.90%,46.70%,2.29%,
Jordan,125.6,0.80%,JOD,$1.10 ,$1.49 ,15.10%,28.60%,14.72%,
Kazakhstan,182.75,5.20%,KZT,$0.42 ,$0.41 ,11.70%,28.40%,4.59%,
Kenya,180.51,4.70%,KES,$0.95 ,$0.25 ,15.10%,37.20%,2.64%,
Kiribati,99.55,0.60%,AUD,,,22.00%,32.70%,,
Kuwait,126.6,1.10%,KWD,$0.35 ,$0.95 ,1.40%,13.00%,2.18%,
Kyrgyzstan,155.68,1.10%,KGS,$0.56 ,$0.09 ,18.00%,29.00%,6.33%,
